player_id,name,birth_year,nationality,primary_position
4015,Louis Saha,1978.0,France,Attack
4018,Daniel Baier,1984.0,Germany,Midfield
4042,Brad Jones,1982.0,Australia,Goalkeeper
4055,Dean Marney,1984.0,England,Midfield
4063,Stewart Downing,1984.0,England,Attack
4070,Liam Ridgewell,1984.0,England,Defender
4072,Peter Crouch,1981.0,England,Attack
4075,Luke Moore,1986.0,England,Attack
4094,Frazer Richardson,1982.0,England,Defender
4095,Matthew Kilgallon,1984.0,England,Defender
4111,Garry Monk,1979.0,England,Defender
4112,Rory Delap,1976.0,Ireland,Midfield
4115,Chris Baird,1982.0,Northern Ireland,Midfield
4192,Rafael van der Vaart,1983.0,Netherlands,Midfield
4205,Bobby Zamora,1981.0,England,Attack
4208,Dominik Reinhardt,1984.0,Germany,Defender
4217,Anthony Le Tallec,1984.0,France,Attack
4219,David Fox,1983.0,England,Midfield
4233,Adam Federici,1985.0,Australia,Goalkeeper
4241,Joleon Lescott,1982.0,England,Defender
4248,Diego,1985.0,Brazil,Midfield
4257,Samuel Eto'o,1981.0,Cameroon,Attack
4267,Tim Howard,1979.0,United States,Goalkeeper
4276,Carlos Tevez,1984.0,Argentina,Attack
4277,Philippe Senderos,1985.0,Switzerland,Defender
4310,Bogdan Lobont,1978.0,Romania,Goalkeeper
4311,Maarten Stekelenburg,1982.0,,Goalkeeper
4314,Cristian Chivu,1980.0,Romania,Defender
4315,Johnny Heitinga,1983.0,Netherlands,Defender
4317,Maxwell,1981.0,Brazil,Defender
4321,Steven Pienaar,1982.0,South Africa,Midfield
4357,Klaas-Jan Huntelaar,1983.0,Netherlands,Attack
4360,Arjen Robben,1984.0,Netherlands,Attack
4371,Glenn Loovens,1983.0,Netherlands,Defender
4380,Robin van Persie,1983.0,Netherlands,Attack
4383,Johan Elmander,1981.0,Sweden,Attack
4592,Ji-sung Park,1981.0,"Korea, South",Midfield
4607,Roel Brouwers,1981.0,Netherlands,Defender
4624,Jos Hooiveld,1983.0,Netherlands,Defender
