rank,player_id,name,clubs,leagues,nationality,primary_position,total_minutes_top5,total_appearances,peak_market_value_eur,peak_value_pct_in_league,obscurity_score
449,27900,Mensur Mujdza,SC Freiburg,Bundesliga,Bosnia-Herzegovina,Defender,2967,40,3000000.0,0.413113435237329,0.6180556854821107
450,173491,Joel Pohjanpalo,Bayer 04 Leverkusen,Bundesliga,Finland,Attack,2780,62,3500000.0,0.4601769911504424,0.6177797214790424
451,128909,Jack Robinson,Sheffield United,Premier League,England,Defender,4267,51,2500000.0,0.1810344827586207,0.617331595829992
452,89473,Nacho Cases,Sporting Gijón,La Liga,Spain,Midfield,3436,45,2200000.0,0.3124574540503744,0.6165425908042702
453,45475,Mahamane Traoré,OGC Nice,Ligue 1,Mali,Midfield,3169,48,2000000.0,0.3714196762141967,0.6151622549161575
454,25523,Karim El Ahmadi,Aston Villa,Premier League,Morocco,Midfield,3359,51,4500000.0,0.3321018062397373,0.6149568488181159
455,134098,Raoul Loé,CA Osasuna,La Liga,Cameroon,Midfield,3333,49,2500000.0,0.3407079646017699,0.6140452425053167
456,90583,Laurent Depoitre,Huddersfield Town,Premier League,Belgium,Attack,2872,56,6500000.0,0.4417077175697865,0.6139329629205331
457,57816,Alberto Lora,Sporting Gijón,La Liga,Spain,Midfield,2787,38,3500000.0,0.4632402995234854,0.6138255866723659
458,57134,Matthieu Dreyer,ESTAC Troyes; SM Caen,Ligue 1,France,Goalkeeper,4320,48,950000.0,0.1783935242839352,0.6138071138270247
459,44012,David García,UD Las Palmas,La Liga,Spain,Defender,4115,52,1500000.0,0.2106875425459496,0.6136484767890407
460,55135,Cristian Álvarez,RCD Espanyol Barcelona; Rayo Vallecano,La Liga,Argentina,Goalkeeper,3047,36,3000000.0,0.40571817562968,0.6125478889293461
461,62941,Jordi Figueras,Rayo Vallecano; Real Betis Balompié,La Liga,Spain,Defender,3355,42,2500000.0,0.3407079646017699,0.6121072580091926
462,39010,Jordi Gómez,Wigan Athletic; Sunderland AFC,Premier League,Spain,Midfield,3814,67,3500000.0,0.256568144499179,0.6105725168976973
463,16873,Claudio Terzi,Siena FC; Palermo FC,Serie A,Italy,Defender,3882,48,1500000.0,0.2448298865910607,0.6091742039912913
464,38100,Michael Mancienne,Hamburger SV,Bundesliga,Seychelles,Defender,2837,33,3500000.0,0.4601769911504424,0.6080897989984222
465,73314,Jordi Xumetra,Levante UD,La Liga,Spain,Attack,3087,56,3000000.0,0.40571817562968,0.607702927689036
466,174488,Marios Ikonomou,Cagliari Calcio; Bologna Football Club 1909; SPAL,Serie A,Greece,Defender,3254,48,2500000.0,0.3755837224816544,0.6072662782940565
467,58789,Lolo,CA Osasuna,La Liga,Spain,Midfield,3103,43,3000000.0,0.40571817562968,0.6043114548208189
468,58890,Gary Kagelmacher,Valenciennes FC,Ligue 1,Uruguay,Defender,2752,31,3000000.0,0.4993773349937733,0.603993503045749
469,154209,Romain Métanire,FC Metz; Stade Reims,Ligue 1,Madagascar,Defender,3300,39,2000000.0,0.3714196762141967,0.6035343479394133
470,3580,Aaron Hughes,Fulham FC,Premier League,Northern Ireland,Defender,3179,37,5500000.0,0.3949096880131363,0.6029327528926567
471,235412,Jawad El Yamiq,Genoa CFC,Serie A,Morocco,Defender,3539,51,2000000.0,0.3228819212808539,0.6021249308324412
472,52112,Georges Mandjeck,FC Metz,Ligue 1,Cameroon,Midfield,3309,43,2000000.0,0.3714196762141967,0.6020808595673203
473,185699,Tim Leibold,1.FC Nuremberg,Bundesliga,Germany,Defender,2767,32,4000000.0,0.498793242156074,0.6016208207824281
474,205809,Marcus Rohdén,FC Crotone,Serie A,Sweden,Midfield,4093,60,1500000.0,0.2448298865910607,0.5999687776347022
475,225462,José Mari,Real Zaragoza; Levante UD,La Liga,Spain,Midfield,4984,101,800000.0,0.1102791014295439,0.5998992089751505
476,283127,Oualid El Hajjam,Amiens SC,Ligue 1,Morocco,Defender,4206,69,1200000.0,0.2300747198007472,0.5995944230453628
477,187105,Mike van der Hoorn,Swansea City,Premier League,Netherlands,Defender,3975,55,3500000.0,0.256568144499179,0.5994291060449841
478,93827,Steven Skrzybski,FC Schalke 04; Fortuna Düsseldorf,Bundesliga,Germany,Attack,2932,60,3500000.0,0.4601769911504424,0.5988843726418331
479,89637,William Rémy,Montpellier HSC,Ligue 1,France,Defender,3340,43,2000000.0,0.3714196762141967,0.5982048905750722
480,129085,Jores Okore,Aston Villa,Premier League,Denmark,Defender,3256,38,5500000.0,0.3949096880131363,0.5971187994042846
481,317057,Adrian Semper,Chievo Verona,Serie A,Croatia,Goalkeeper,2880,32,3500000.0,0.4743162108072048,0.596659724053762
482,73457,Aleksandar Pesic,FC Toulouse; Atalanta BC,Ligue 1; Serie A,Serbia,Attack,2786,63,3000000.0,0.4993773349937733,0.5962415650612529
483,40937,Elkin Soto,1.FSV Mainz 05,Bundesliga,Colombia,Midfield,3719,65,2000000.0,0.2984714400643604,0.5959193187275097
484,205465,Marc-Aurèle Caillard,EA Guingamp,Ligue 1,France,Goalkeeper,3791,45,1500000.0,0.2889165628891656,0.595367299950766
485,126638,Jeong-ho Hong,FC Augsburg,Bundesliga,"Korea, South",Defender,3422,56,2500000.0,0.3580048270313757,0.5947378965618315
486,56806,Vincent Nogueira,FC Sochaux-Montbéliard; RC Strasbourg Alsace,Ligue 1,France,Midfield,3364,47,2000000.0,0.3714196762141967,0.5945711696448397
487,218067,Jacopo Petriccione,US Lecce,Serie A,Italy,Midfield,3100,51,3000000.0,0.428285523682455,0.5935122769184624
488,51528,Bruno Saltor,Brighton & Hove Albion,Premier League,Spain,Defender,3153,39,6000000.0,0.4195402298850574,0.5930399625768511
489,17689,Sascha Mölders,FC Augsburg,Bundesliga,Germany,Attack,3582,63,2250000.0,0.330249396621078,0.5916582474258951
490,62800,Adam Hlousek,1.FC Nuremberg; VfB Stuttgart,Bundesliga,Czech Republic,Defender,4263,57,1500000.0,0.2345132743362832,0.5915611922892228
491,30782,Santiago Gentiletti,Società Sportiva Lazio S.p.A.; Genoa CFC,Serie A,Argentina,Defender,3634,43,2000000.0,0.3228819212808539,0.591466016103759
492,44625,Maor Melikson,Valenciennes FC,Ligue 1,Israel,Attack,3244,52,2300000.0,0.4081569115815691,0.5914641798681302
493,8746,Carlos Peña,Real Valladolid CF,La Liga,Spain,Defender,4409,55,1500000.0,0.2106875425459496,0.5913616550836144
494,333175,Bingourou Kamara,RC Strasbourg Alsace,Ligue 1,Senegal,Goalkeeper,3088,35,2500000.0,0.4377334993773349,0.5912107696911775
495,22635,Reynald Lemaître,EA Guingamp,Ligue 1,France,Defender,3406,43,2000000.0,0.3714196762141967,0.5911796967766225
496,83368,Abdoul Wahid Sissoko,Stade Brestois 29; Granada CF,Ligue 1; La Liga,Mali,Midfield,3839,48,1500000.0,0.2889165628891656,0.5910068348344869
497,124983,Bryan Oviedo,Everton FC; Sunderland AFC,Premier League,Costa Rica,Defender,3588,60,4500000.0,0.3321018062397373,0.5902475464925345
498,189452,Gastón Silva,Torino FC; Granada CF,Serie A; La Liga,Uruguay,Defender,3569,51,2500000.0,0.3407079646017699,0.5890936921177197
499,60602,Yohann Thuram,ESTAC Troyes,Ligue 1,Guadeloupe,Goalkeeper,3420,38,2000000.0,0.3714196762141967,0.5887572161564676
500,94137,Kevin Möhwald,SV Werder Bremen,Bundesliga,Germany,Midfield,2842,67,4000000.0,0.498793242156074,0.5882971773715754
501,121686,Cristian Gamboa,West Bromwich Albion,Premier League,Costa Rica,Defender,4873,87,2000000.0,0.1461412151067323,0.5882666017489595
502,68868,Guido Milán,FC Metz,Ligue 1,Argentina,Defender,3657,46,1750000.0,0.324719800747198,0.5876400996264011
503,262689,Uche Agbo,Granada CF; Rayo Vallecano,La Liga,Nigeria,Midfield,3008,44,3500000.0,0.4632402995234854,0.5871782998506604
504,29152,Danny Graham,Sunderland AFC; Swansea City; Hull City,Premier League,England,Attack,3836,73,4000000.0,0.2976190476190476,0.5871400885935769
505,72195,Juan Domínguez,Deportivo de La Coruña,La Liga,,Midfield,3298,51,3000000.0,0.40571817562968,0.5868695943557026
506,192300,Max Christiansen,FC Ingolstadt 04,Bundesliga,Germany,Midfield,3525,57,2500000.0,0.3580048270313757,0.5860169663292734
507,25319,Momo,UD Las Palmas,La Liga,Spain,Attack,3301,59,3000000.0,0.40571817562968,0.5856583540456252
508,33925,Jessy Moulin,AS Saint-Étienne,Ligue 1,France,Goalkeeper,4543,52,1000000.0,0.2011207970112079,0.585486113122303
509,117478,Marnon Busch,SV Werder Bremen,Bundesliga,Germany,Defender,4324,77,1500000.0,0.2345132743362832,0.5852627426768197
510,167895,Luca Rizzo,UC Sampdoria; Bologna Football Club 1909; SPAL,Serie A,Italy,Midfield,2976,61,3500000.0,0.4743162108072048,0.5840628248289558
511,77932,Jefferson Montero,Swansea City; Getafe CF,Premier League; La Liga,Ecuador,Attack,3357,70,5500000.0,0.3949096880131363,0.5840374040554474
512,23287,Nacho,Real Betis Balompié,La Liga,Spain,Defender,3625,46,2500000.0,0.3407079646017699,0.5830374905673321
513,37633,Guillermo Rodríguez,Torino FC; Hellas Verona,Serie A,Uruguay,Defender,3332,41,2900000.0,0.4059372915276851,0.58191507516639
514,37397,José Crespo,Bologna Football Club 1909; Córdoba CF; Rayo Vallecano; Aston Villa,Serie A; La Liga; Premier League,Spain,Defender,3517,47,2800000.0,0.3682777399591559,0.5818495021134453
515,34211,Cristiano Del Grosso,Atalanta BC; Siena FC,Serie A,Italy,Defender,4618,61,1200000.0,0.1967978652434956,0.5818336255177871
516,38746,Tomas Pekhart,1.FC Nuremberg; FC Ingolstadt 04,Bundesliga,Czech Republic,Attack,2896,58,4000000.0,0.498793242156074,0.5815142316351414
517,51972,Robbie Kruse,Fortuna Düsseldorf; Bayer 04 Leverkusen; VfB Stuttgart,Bundesliga,Australia,Attack,3440,61,2750000.0,0.3817377312952534,0.5814179560577997
518,34672,Joey O'Brien,West Ham United,Premier League,Ireland,Defender,4485,59,3000000.0,0.2163382594417077,0.5812688547752702
519,44860,Javi Chica,Real Betis Balompié,La Liga,Spain,Defender,3830,47,2200000.0,0.3124574540503744,0.5809321256879911
520,171408,Gaëtan Courtet,Stade Reims,Ligue 1,France,Attack,3755,74,1750000.0,0.324719800747198,0.580857153889967
521,14081,Ben Watson,Wigan Athletic; Watford FC,Premier League,England,Midfield,3947,59,4000000.0,0.2976190476190476,0.5808416389811739
522,67421,Kyle Bartley,Swansea City,Premier League,England,Defender,3970,51,4000000.0,0.2976190476190476,0.5793881506090808
523,68718,Yoann Touzghar,RC Lens,Ligue 1,Tunisia,Attack,3781,68,1750000.0,0.324719800747198,0.5781924252077963
524,245072,Stipe Perica,Udinese Calcio; Frosinone Calcio,Serie A,Croatia,Attack,3285,76,3000000.0,0.428285523682455,0.5780084009494701
525,8206,Emmanuel Cascione,Delfino Pescara 1936; Cesena FC,Serie A,Italy,Midfield,4385,59,1500000.0,0.2448298865910607,0.5776819559292758
526,34532,Jérémy Choplin,SC Bastia; FC Metz,Ligue 1,France,Defender,4100,48,1500000.0,0.2889165628891656,0.5774409433616188
527,285322,Federico Ricca,Málaga CF,La Liga,Uruguay,Defender,3370,43,3000000.0,0.40571817562968,0.5762106796270205
528,52893,Carlão,FC Sochaux-Montbéliard; Torino FC,Ligue 1; Serie A,Brazil,Defender,3549,46,2000000.0,0.3714196762141967,0.5759180688696459
529,114060,Enric Gallego,SD Huesca; CA Osasuna; Getafe CF,La Liga,Spain,Attack,3385,60,3000000.0,0.40571817562968,0.5757261835029894
530,17171,Alessandro Agostini,Hellas Verona,Serie A,Italy,Defender,3835,47,2000000.0,0.3228819212808539,0.5749931478867047
531,3495,Dudu Aouate,RCD Mallorca,La Liga,Israel,Goalkeeper,3122,35,3500000.0,0.4632402995234854,0.5740969045018232
532,111041,Zacharie Boucher,FC Toulouse; Angers SCO,Ligue 1,France,Goalkeeper,2970,33,3000000.0,0.4993773349937733,0.5739547433558265
533,39893,Jérôme Le Moigne,RC Lens; GFC Ajaccio,Ligue 1,France,Midfield,4929,62,900000.0,0.1690535491905355,0.5739034579628718
534,19435,Gianpaolo Bellini,Atalanta BC,Serie A,Italy,Defender,3643,50,2300000.0,0.3565710473649099,0.573652460813669
535,112666,Alessandro Longhi,US Sassuolo,Serie A,Italy,Defender,4200,53,1800000.0,0.2865243495663775,0.5718541042865787
536,15974,Esteban,UD Almería,La Liga,Spain,Goalkeeper,3420,38,3000000.0,0.40571817562968,0.5716079664487259
537,44700,Paulão,Real Betis Balompié,La Liga,Brazil,Defender,3426,43,3000000.0,0.40571817562968,0.5703967261386484
538,75238,Iñigo López,Granada CF; Celta de Vigo; Córdoba CF,La Liga,Spain,Defender,4266,53,2000000.0,0.2773995915588836,0.5696335375538915
539,34453,Birkir Bjarnason,Delfino Pescara 1936; UC Sampdoria; Brescia Calcio,Serie A,Iceland,Midfield,3111,51,3500000.0,0.4743162108072048,0.5695279411080255
540,57876,Laure,Deportivo de La Coruña,La Liga,Spain,Defender,4273,60,2000000.0,0.2773995915588836,0.5686645453058294
541,111053,Yeni Ngbakoto,FC Metz; EA Guingamp,Ligue 1,DR Congo,Attack,3011,61,3000000.0,0.4993773349937733,0.5686252859914854
542,66005,Amir Abrashi,SC Freiburg,Bundesliga,Albania,Midfield,3682,60,2500000.0,0.3580048270313757,0.5680906097401262
543,95604,Gianni Bruno,LOSC Lille; SC Bastia; FC Lorient; Thonon Évian Grand Genève FC,Ligue 1,Belgium,Attack,3327,73,2500000.0,0.4377334993773349,0.5674704596136582
544,56435,Roger,FC Ingolstadt 04,Bundesliga,Brazil,Midfield,4786,59,1250000.0,0.1995172968624296,0.5673925143594829
545,194460,Joe Bryan,Fulham FC,Premier League,England,Defender,3190,50,7000000.0,0.4646962233169129,0.5670704929927063
546,228584,David Simón,UD Las Palmas,La Liga,Spain,Defender,4301,54,2000000.0,0.2773995915588836,0.56648431274769
547,18100,Per Nilsson,1.FC Nuremberg,Bundesliga,Sweden,Defender,4188,49,2000000.0,0.2984714400643604,0.5663650551616182
548,84870,Francisco Silva,CA Osasuna,La Liga,Chile,Midfield,3850,47,2500000.0,0.3407079646017699,0.5646266378541538
549,90964,Joe Bennett,Aston Villa; Cardiff City,Premier League,England,Defender,4725,60,3000000.0,0.2163382594417077,0.5643114904341848
550,7989,Fernando Soriano,UD Almería,La Liga,Spain,Midfield,3313,63,3400000.0,0.4475833900612662,0.5635145065197544
551,145416,Junior Tallo,AC Ajaccio; SC Bastia; LOSC Lille,Ligue 1,Cote d'Ivoire,Attack,3674,62,2000000.0,0.3714196762141967,0.5628366735208086
552,89318,Borja Ekiza,Athletic Bilbao; SD Eibar,La Liga,Spain,Defender,3262,40,3500000.0,0.4632402995234854,0.562468997525079
553,42079,Sebastian Mielitz,SV Werder Bremen,Bundesliga,Germany,Goalkeeper,4230,47,2000000.0,0.2984714400643604,0.5617623419833236
554,138171,Mathias Autret,FC Lorient; Stade Brestois 29,Ligue 1,,Midfield,3364,72,2500000.0,0.4377334993773349,0.5614142580632705
555,51168,Jens Hegeler,Bayer 04 Leverkusen; Hertha BSC,Bundesliga,Germany,Midfield,3503,91,3000000.0,0.413113435237329,0.5611273909084673
556,9500,David Marshall,Cardiff City; Hull City,Premier League,Scotland,Goalkeeper,4770,53,3000000.0,0.2163382594417077,0.5604355214419369
557,55993,Pablo Álvarez,Catania FC,Serie A,Argentina,Defender,3577,45,2750000.0,0.3955970647098065,0.5597111575675774
558,10503,Uwe Hünemeier,SC Paderborn 07; Brighton & Hove Albion,Bundesliga; Premier League,Germany,Defender,4043,49,2250000.0,0.330249396621078,0.5596815032398486
559,74956,Marcel Büchel,FC Empoli; Hellas Verona,Serie A,Liechtenstein,Midfield,4104,66,2000000.0,0.3228819212808539,0.5594892719177126
560,425400,Farid El Melali,Angers SCO,Ligue 1,Algeria,Attack,3725,92,2000000.0,0.3714196762141967,0.5589607045285605
561,277,Sérgio da Silva Pinto,Hannover 96; Levante UD,Bundesliga; La Liga,Germany,Midfield,3301,48,3500000.0,0.4601769911504424,0.5584289462852439
562,21770,Gennaro Sardo,Chievo Verona,Serie A,Italy,Defender,4615,69,1500000.0,0.2448298865910607,0.5583021109680355
563,160357,Mario Sampirisi,Genoa CFC; Chievo Verona; FC Crotone,Serie A,Italy,Defender,5037,77,1100000.0,0.1891260840560373,0.5578109889797332
564,301236,Francesco Cassata,US Sassuolo; Frosinone Calcio; Genoa CFC,Serie A,Italy,Midfield,3266,61,3500000.0,0.4743162108072048,0.5564465457591883
565,53408,Fabian Giefer,Fortuna Düsseldorf; FC Schalke 04; FC Augsburg,Bundesliga,Germany,Goalkeeper,3545,40,3000000.0,0.413113435237329,0.5557979335441261
566,3995,Gary O'Neil,West Ham United; Norwich City,Premier League,England,Midfield,3191,51,7500000.0,0.4872742200328407,0.5552969985107115
567,21696,Daniele Portanova,Genoa CFC; Bologna Football Club 1909,Serie A,Italy,Defender,3617,41,2800000.0,0.4006004002668445,0.5545447611068879
568,189940,Florian Raspentino,Olympique Marseille; Stade Brestois 29; SC Bastia; SM Caen,Ligue 1,France,Attack,4398,85,1500000.0,0.2889165628891656,0.5539428813461149
569,236953,Sam Byram,West Ham United; Norwich City,Premier League,England,Defender,4107,61,4500000.0,0.3321018062397373,0.5539103371902089
570,95483,Abraham Minero,Real Zaragoza; SD Eibar,La Liga,Spain,Defender,4442,57,2000000.0,0.2773995915588836,0.5536451654608683
571,85240,Eugenio Lamanna,Genoa CFC,Serie A,Italy,Goalkeeper,3779,43,2500000.0,0.3755837224816544,0.5534872085266147
572,66099,Carles Planas,Celta de Vigo; Girona FC,La Liga,Spain,Defender,4056,61,2500000.0,0.3407079646017699,0.5534832270014407
573,35872,Änis Ben-Hatira,Hertha BSC; Eintracht Frankfurt; SV Darmstadt 98,Bundesliga,Tunisia,Midfield,3569,56,3000000.0,0.413113435237329,0.55289095679994
574,39828,Antonino Barillà,UC Sampdoria; Parma Calcio 1913,Serie A,Italy,Midfield,4419,60,1800000.0,0.2865243495663775,0.5524742593253384
575,68183,David Meyler,Sunderland AFC; Hull City,Premier League,Ireland,Midfield,4882,81,3000000.0,0.2163382594417077,0.5521990873334097
576,121385,Grant Hanley,Norwich City,Premier League,Scotland,Defender,4161,48,4500000.0,0.3321018062397373,0.5514878565700538
577,57170,Féthi Harek,SC Bastia; Nîmes Olympique,Ligue 1,Algeria,Defender,4628,60,1300000.0,0.2618306351183063,0.5478637522082888
578,170460,Jessy Pi,AS Monaco; ESTAC Troyes; FC Toulouse,Ligue 1,France,Midfield,3871,58,2000000.0,0.3714196762141967,0.5470905494898008
579,83895,Marcelo Díaz,Hamburger SV; Celta de Vigo,Bundesliga; La Liga,Chile,Midfield,3462,57,3400000.0,0.4475833900612662,0.5470416383027003
580,15761,Marc Bertrán,CA Osasuna,La Liga,Spain,Defender,4301,52,2400000.0,0.3168822328114363,0.5467429921214136
581,15790,Ferrán Corominas,Elche CF,La Liga,Spain,Attack,4165,70,2500000.0,0.3407079646017699,0.5467002812650066
582,120705,Juan Carlos,Córdoba CF; Rayo Vallecano,La Liga,Spain,Goalkeeper,5582,63,1000000.0,0.1501021102791014,0.5455884797441702
583,282349,Timo Becker,FC Schalke 04,Bundesliga,Germany,Defender,4421,60,2000000.0,0.2984714400643604,0.5452894737662695
584,12502,Sigamary Diarra,AC Ajaccio,Ligue 1,Mali,Midfield,3537,54,2500000.0,0.4377334993773349,0.5451836379082318
585,12957,Bertrand Laquait,Thonon Évian Grand Genève FC,Ligue 1,France,Goalkeeper,3942,45,2000000.0,0.3714196762141967,0.5449103169316614
586,39174,Khaled Adénon,Amiens SC,Ligue 1,Benin,Defender,4915,57,1200000.0,0.2300747198007472,0.5443618649058279
587,51035,Johny Placide,Stade Reims,Ligue 1,Haiti,Goalkeeper,4224,49,1800000.0,0.3365504358655043,0.5439340843928293
588,221315,Kevin Vázquez,Celta de Vigo,La Liga,Spain,Defender,4594,68,2000000.0,0.2773995915588836,0.5434707468562171
589,81743,Fausto Rossi,Real Valladolid CF; Córdoba CF,La Liga,Italy,Midfield,3710,55,3000000.0,0.40571817562968,0.542780447068881
590,230166,Haitam Aleesami,Palermo FC; Amiens SC,Serie A; Ligue 1,Norway,Defender,4545,53,1800000.0,0.2865243495663775,0.5422998407206872
591,75640,Artur Sobiech,Hannover 96,Bundesliga,Poland,Attack,4104,86,2500000.0,0.3580048270313757,0.5419278190424517
592,340394,Abdelhamid Sabiri,Huddersfield Town; SC Paderborn 07,Premier League; Bundesliga,Morocco,Midfield,3289,64,4000000.0,0.498793242156074,0.5417855494645987
593,82324,Stoppila Sunzu,FC Sochaux-Montbéliard; LOSC Lille; FC Metz,Ligue 1,Zambia,Defender,3986,50,2000000.0,0.3714196762141967,0.5415188440634443
594,106837,Abdoulaye Ba,Rayo Vallecano,La Liga,Senegal,Defender,3733,46,3000000.0,0.40571817562968,0.5413269586967879
595,48164,Slobodan Medojevic,VfL Wolfsburg; Eintracht Frankfurt,Bundesliga,Serbia,Midfield,3291,57,4000000.0,0.498793242156074,0.5413010533405676
596,106181,Jacques Zoua,Hamburger SV; GFC Ajaccio,Bundesliga; Ligue 1,Cameroon,Attack,4010,58,2000000.0,0.3714196762141967,0.5405498518153823
597,134712,Billy Ketkeophomphone,Angers SCO,Ligue 1,Laos,Attack,3417,53,2750000.0,0.4698007471980074,0.5405356729126242
598,31216,Tobias Levels,Fortuna Düsseldorf; FC Ingolstadt 04,Bundesliga,Germany,Defender,3694,45,3000000.0,0.413113435237329,0.5400518095131184
599,56711,Almog Cohen,1.FC Nuremberg; FC Ingolstadt 04,Bundesliga,Israel,Midfield,3708,60,3000000.0,0.413113435237329,0.5395673133890875
600,171557,Baissama Sankoh,EA Guingamp; SM Caen,Ligue 1,Guinea,Midfield,4828,77,1250000.0,0.2484433374844333,0.5390535250562329
601,33953,Ricardo Faty,AC Ajaccio,Ligue 1,Senegal,Midfield,3577,45,2500000.0,0.4377334993773349,0.5386429402338131
602,61573,Jonathan Hogg,Huddersfield Town,Premier League,England,Midfield,4787,59,3500000.0,0.256568144499179,0.5381403463550617
603,149525,Antonio Caracciolo,Hellas Verona,Serie A,Italy,Defender,5930,68,800000.0,0.1220813875917278,0.5377965155064617
604,129893,Molla Wagué,Udinese Calcio; Watford FC; FC Nantes,Serie A; Premier League; Ligue 1,Mali,Defender,4398,55,2000000.0,0.3228819212808539,0.5369602021502707
605,74954,Saúl Berjón,SD Eibar,La Liga,Spain,Attack,3804,63,3000000.0,0.40571817562968,0.5364819974564778
606,22396,Alexis Thébaux,Stade Brestois 29; SC Bastia,Ligue 1,France,Goalkeeper,3330,37,3000000.0,0.4993773349937733,0.5359217976193924
607,59551,Ángel Montoro,UD Las Palmas; Granada CF,La Liga,Spain,Midfield,5211,87,1500000.0,0.2106875425459496,0.5351601046960175
608,213368,Pedro Henrique,Stade Rennais FC,Ligue 1,Brazil,Attack,3341,70,3000000.0,0.4993773349937733,0.5337415650612529
609,5686,Laurent Pionnier,Montpellier HSC,Ligue 1,France,Goalkeeper,5624,63,900000.0,0.1690535491905355,0.5336902796682981
610,139434,Raúl Carnero,UD Almería; Deportivo Alavés; CD Leganés; Girona FC; Real Valladolid CF; Getafe CF,La Liga,Spain,Defender,5828,81,1000000.0,0.1501021102791014,0.5329915805193641
611,85066,Archimede Morleo,Bologna Football Club 1909,Serie A,Italy,Defender,5430,69,1100000.0,0.1891260840560373,0.5318904463440743
612,368559,Ádám Nagy,Bologna Football Club 1909,Serie A,Hungary,Midfield,3494,51,3500000.0,0.4743162108072048,0.531737243433607
613,54846,Fabian Holland,Hertha BSC; SV Darmstadt 98,Bundesliga,Germany,Defender,5812,70,1000000.0,0.1568785197103781,0.5300878719277566
614,4607,Roel Brouwers,Borussia Mönchengladbach,Bundesliga,Netherlands,Defender,3650,61,3250000.0,0.4420756234915527,0.5299311805022857
615,24589,Wes Hoolahan,Norwich City,Premier League,Ireland,Midfield,5235,79,3000000.0,0.2163382594417077,0.5299122656279833
616,31773,Olivier Veigneau,FC Nantes,Ligue 1,France,Defender,4400,53,1800000.0,0.3365504358655043,0.529399200671899
617,84150,Rafael Czichos,1.FC Köln,Bundesliga,Germany,Defender,4469,54,2200000.0,0.3242156074014481,0.528783669167493
618,38415,Johannes Flum,SC Freiburg; Eintracht Frankfurt,Bundesliga,Germany,Midfield,3401,64,4000000.0,0.498793242156074,0.5284619060537459
619,146743,Luca Antei,US Sassuolo; Benevento Calcio,Serie A,Italy,Defender,4493,58,2000000.0,0.3228819212808539,0.5275125277316661
620,39306,Raphael Wolf,SV Werder Bremen,Bundesliga,Germany,Goalkeeper,4289,48,2500000.0,0.3580048270313757,0.5273929353215214
621,341396,Théo Valls,Nîmes Olympique,Ligue 1,France,Midfield,3406,53,3000000.0,0.4993773349937733,0.5272008673868342
622,16311,Rouwen Hennings,Fortuna Düsseldorf,Bundesliga,Germany,Attack,4291,61,2500000.0,0.3580048270313757,0.5269084391974904
623,243606,Anastasios Donis,OGC Nice; VfB Stuttgart; Stade Reims,Ligue 1; Bundesliga,Greece,Attack,3417,91,4000000.0,0.498793242156074,0.526039425433591
624,139634,Ledian Memushaj,Delfino Pescara 1936; Benevento Calcio,Serie A,Albania,Midfield,4222,53,2500000.0,0.3755837224816544,0.5256286813948317
625,42411,Fraizer Campbell,Sunderland AFC; Cardiff City; Crystal Palace,Premier League,England,Attack,4720,92,4000000.0,0.2976190476190476,0.5256090808416389
626,71918,David Ferreiro,SD Huesca,La Liga,Spain,Attack,4818,72,2000000.0,0.2773995915588836,0.5255443902670698
627,49501,Elias Kachunga,SC Paderborn 07; FC Ingolstadt 04; Huddersfield Town,Bundesliga; Premier League,DR Congo,Attack,5015,81,3500000.0,0.256568144499179,0.524816702944209
628,51030,Maxime Baca,FC Lorient; EA Guingamp,Ligue 1,France,Defender,4759,62,1500000.0,0.2889165628891656,0.524630865842239
629,315332,Aymen Barkok,Eintracht Frankfurt; Fortuna Düsseldorf,Bundesliga,Morocco,Midfield,3624,113,3500000.0,0.4601769911504424,0.5237874734170269
630,412671,Quentin Boisgard,FC Toulouse,Ligue 1,France,Midfield,3781,80,2500000.0,0.4377334993773349,0.5216855758927279
631,3838,Boaz Myhill,West Bromwich Albion,Premier League,Wales,Goalkeeper,5075,57,3500000.0,0.256568144499179,0.5209407339519609
632,289587,Aaron Leya Iseka,Olympique Marseille; FC Toulouse,Ligue 1,Belgium,Attack,3474,79,3000000.0,0.4993773349937733,0.5196911774643537
633,28810,Nedum Onuoha,Queens Park Rangers,Premier League,England,Defender,3540,46,7500000.0,0.4872742200328407,0.5194442853324168
634,48078,Sam Vokes,Burnley FC,Premier League,Wales,Attack,3950,87,6000000.0,0.4195402298850574,0.5193965517241379
635,57207,Jordon Mutch,Cardiff City; Crystal Palace; Queens Park Rangers,Premier League,England,Midfield,3960,75,6000000.0,0.4195402298850574,0.518912055600107
636,79723,Sean Morrison,Reading FC; Cardiff City,Premier League,England,Defender,4367,50,5000000.0,0.3657635467980296,0.5176996219498224
637,56872,Andy King,Leicester City; Swansea City,Premier League,Wales,Midfield,5118,94,3500000.0,0.256568144499179,0.5170647649597129
638,49872,Djamel Bakar,AS Nancy-Lorraine; Montpellier HSC,Ligue 1,Comoros,Attack,3853,68,2500000.0,0.4377334993773349,0.5153871262803248
639,123305,Djakaridja Koné,Thonon Évian Grand Genève FC,Ligue 1,Burkina Faso,Midfield,4397,63,2000000.0,0.3714196762141967,0.5134180688696459
640,93759,Matthieu Saunier,ESTAC Troyes; Granada CF,Ligue 1; La Liga,France,Defender,4951,58,1500000.0,0.2889165628891656,0.5125184627414636
