rank,player_id,name,clubs,leagues,nationality,primary_position,total_minutes_top5,total_appearances,peak_market_value_eur,peak_value_pct_in_league,obscurity_score
143,51545,Mario Bermejo,Celta de Vigo,La Liga,Spain,Attack,1935,46,2500000.0,0.3407079646017699,0.7739289634355492
144,52746,Nill De Pauw,EA Guingamp,Ligue 1,DR Congo,Attack,1098,41,2500000.0,0.4377334993773349,0.7719278239547434
145,42072,Tobias Kempe,SV Darmstadt 98,Bundesliga,Germany,Midfield,2627,55,1250000.0,0.1995172968624296,0.7713653825765372
146,58437,Dani Schahin,Fortuna Düsseldorf; 1.FSV Mainz 05; SC Freiburg,Bundesliga,Germany,Attack,2171,46,2000000.0,0.2984714400643604,0.7713069156267345
147,66280,Cristobal Jorquera,Genoa CFC; Parma Calcio 1913,Serie A,Chile,Midfield,1682,30,2500000.0,0.3755837224816544,0.7710259682165371
148,684062,Hianga'a Mbock,Stade Brestois 29,Ligue 1,France,Midfield,1434,33,2200000.0,0.4037982565379825,0.7709690887852723
149,73244,José Carlos,Rayo Vallecano; Córdoba CF,La Liga,Spain,Midfield,2257,36,2000000.0,0.2773995915588836,0.7699726848407132
150,6457,Axel Bellinghausen,Fortuna Düsseldorf,Bundesliga,Germany,Midfield,2194,31,2000000.0,0.2984714400643604,0.7698534272546415
151,3762,Peter Whittingham,Cardiff City,Premier League,England,Midfield,2661,32,2750000.0,0.1937602627257799,0.7693989384045519
152,45389,Samuel Di Carmine,Hellas Verona,Serie A,Italy,Attack,2302,46,1700000.0,0.2708472314876584,0.7691306478220623
153,61464,Karim Yoda,Getafe CF,La Liga,France,Attack,2007,36,2500000.0,0.3407079646017699,0.766661521575084
154,178187,Álex Alegría,Real Betis Balompié; Levante UD; Rayo Vallecano; RCD Mallorca,La Liga,Spain,Attack,2298,49,2000000.0,0.2773995915588836,0.7663389639104807
155,51559,Mikel Arruabarrena,SD Eibar,La Liga,Spain,Attack,2611,40,1500000.0,0.2106875425459496,0.7662647558588082
156,61344,Borja Viguera,Athletic Bilbao; Sporting Gijón,La Liga,Spain,Attack,2012,46,2500000.0,0.3407079646017699,0.765692529327022
157,54916,Jonathan Rossini,UC Sampdoria; US Sassuolo,Serie A,Switzerland,Defender,2502,31,1500000.0,0.2448298865910607,0.7656664520533069
158,207597,Cedric Teuchert,FC Schalke 04,Bundesliga,Germany,Attack,932,33,3500000.0,0.4601769911504424,0.7655510393084997
159,60543,Mathieu Gorgelin,Olympique Lyon,Ligue 1,France,Goalkeeper,2668,30,1000000.0,0.2011207970112079,0.7647496790137759
160,37957,Alex Bruce,Hull City,Premier League,Northern Ireland,Defender,3042,42,1500000.0,0.1087848932676519,0.7614990262343911
161,537127,Théo Sainte-Luce,Nîmes Olympique,Ligue 1,France,Defender,1921,35,2000000.0,0.3714196762141967,0.7612378363115063
162,203617,Rodri Tarín,CD Leganés,La Liga,Spain,Defender,2380,32,2000000.0,0.2773995915588836,0.7607672584841241
163,24636,Paul McShane,Hull City,Premier League,Ireland,Defender,2382,30,3750000.0,0.2754515599343186,0.760530033986329
164,167228,Raúl Lizoain,UD Las Palmas,La Liga,Spain,Goalkeeper,2868,32,1000000.0,0.1501021102791014,0.7602202626899067
165,51977,Pavao Pervan,VfL Wolfsburg,Bundesliga,Austria,Goalkeeper,3015,34,800000.0,0.1154465004022526,0.7601062071632148
166,268555,Harrison Manzala,Amiens SC; Angers SCO,Ligue 1,DR Congo,Attack,1926,45,2000000.0,0.3714196762141967,0.7600265960014287
167,164451,Jeff Louis,AS Nancy-Lorraine; SM Caen,Ligue 1,Haiti,Midfield,1296,36,2500000.0,0.4377334993773349,0.7598154208539682
168,231941,Khalid Boutaïb,GFC Ajaccio,Ligue 1,Morocco,Attack,1928,31,2000000.0,0.3714196762141967,0.7595420998773978
169,13582,Karl Henry,Queens Park Rangers,Premier League,England,Midfield,2504,33,3500000.0,0.256568144499179,0.7593128269752167
170,163489,Riccardo Improta,Chievo Verona,Serie A,Italy,Attack,2431,37,1700000.0,0.2708472314876584,0.7589562292174111
171,57144,Chahir Belghazouani,AC Ajaccio,Ligue 1,Morocco,Attack,2323,37,1500000.0,0.2889165628891656,0.7584002456872001
172,33763,Massimo Coda,Parma Calcio 1913; Benevento Calcio,Serie A,Italy,Attack,2275,42,1900000.0,0.2981987991994663,0.7573928484622823
173,164937,Clarck N'Sikulu,Thonon Évian Grand Genève FC,Ligue 1,DR Congo,Attack,2342,54,1500000.0,0.2889165628891656,0.7571890053771226
174,16888,Federico Agliardi,Bologna Football Club 1909; Cesena FC,Serie A,Italy,Goalkeeper,2765,32,1100000.0,0.1891260840560373,0.7571811440184929
175,5687,Rudy Riou,RC Lens,Ligue 1,France,Goalkeeper,2812,32,900000.0,0.1690535491905355,0.7570429928465927
176,5597,Chaouki Ben Saada,ESTAC Troyes,Ligue 1,Tunisia,Attack,1144,34,2600000.0,0.4663760896637609,0.7566375365634683
177,6287,Marco Caligiuri,1.FSV Mainz 05; Eintracht Braunschweig,Bundesliga,Germany,Defender,2024,34,2500000.0,0.3580048270313757,0.7555906097401262
178,56808,Quentin Othon,ESTAC Troyes,Ligue 1,France,Midfield,2819,40,900000.0,0.1690535491905355,0.7555895044744997
179,36255,Mirko Boland,Eintracht Braunschweig,Bundesliga,Germany,Midfield,2601,33,1500000.0,0.2345132743362832,0.7553208822117033
180,1363,Christian Wetklo,1.FSV Mainz 05,Bundesliga,Germany,Goalkeeper,2882,33,1000000.0,0.1568785197103781,0.7548940734781443
181,186988,Sven Michel,SC Paderborn 07,Bundesliga,Germany,Attack,2748,85,1250000.0,0.1995172968624296,0.7548925143594829
182,165722,Antonio Di Gaudio,AC Carpi; Parma Calcio 1913,Serie A,Italy,Attack,2211,41,2000000.0,0.3228819212808539,0.7544989618401932
183,72087,Andres Tuñez,Celta de Vigo,La Liga,Venezuela,Defender,2700,30,1500000.0,0.2106875425459496,0.7541523527580329
184,109720,Joffrey Cuffaut,AS Nancy-Lorraine,Ligue 1,France,Defender,2570,30,1250000.0,0.2484433374844333,0.7536853080019694
185,66783,Charlison Benschop,Stade Brestois 29; Hannover 96,Ligue 1; Bundesliga,Curacao,Attack,1990,43,2000000.0,0.3714196762141967,0.7532436502649946
186,92381,Sammy Ameobi,Newcastle United,Premier League,England,Attack,2017,43,5000000.0,0.3657635467980296,0.7526802421048612
187,33078,Florian Jungwirth,SV Darmstadt 98,Bundesliga,Germany,Defender,2637,35,1500000.0,0.2345132743362832,0.7524139054675173
188,162079,Fede Vico,Córdoba CF; Granada CF,La Liga,Spain,Midfield,2470,57,2000000.0,0.2773995915588836,0.7522885763135815
189,37216,Ceyhun Gülselam,Hannover 96,Bundesliga,Turkey,Midfield,2050,31,2500000.0,0.3580048270313757,0.752199136871909
190,132921,Aday Benítez,Girona FC,La Liga,Spain,Defender,2477,41,2000000.0,0.2773995915588836,0.7518040801895505
